autorun_test t65 OK ('42e97f1552e7', 'd3ac8b12b8d2')
autorun_test scpu OK ('42e97f1552e7', 'd3ac8b12b8d2')
asterix_prg t65 OK ('5b7d55eab6f3', 'cb8c5e19baba')
asterix_prg scpu OK ('5b7d55eab6f3', '9a5200049814')
dl_scpu t65 OK ('7311db172ee3', '26edd34ac881')
dl_scpu scpu OK ('82c8fd2c4d71', 'ae9d88340e63')
doom t65 OK ('ba3cdf17b8a3', '7c9c0ff392b5')
doom scpu OK ('ba3cdf17b8a3', '14fc149226c2')
synthmark64 t65 OK ('46050d70c284', '4a634b19f6c6')
synthmark64 scpu OK ('46050d70c284', '4a634b19f6c6')
scputest t65 OK ('35e28c4ed7a9', 'a16a281644fe')
scputest scpu OK ('35e28c4ed7a9', 'a16a281644fe')
autorun t65 OK ('f24de9df6492', '565180779882')
autorun scpu OK ('f24de9df6492', '565180779882')
